date,tests,confirmed,probable,total,hospitalized,recovered,deaths
26/02/2020,,,,0,,,0
27/02/2020,,,,0,,,0
28/02/2020,,,,1,,,0
29/02/2020,,,,1,,,0
01/03/2020,,,,1,,,0
02/03/2020,,,,1,,,0
03/03/2020,,,,1,,,0
04/03/2020,,,,3,,,0
05/03/2020,,,,3,,,0
06/03/2020,,,,4,,,0
07/03/2020,,,,4,,,0
08/03/2020,300,,,4,,,0
09/03/2020,312,,,4,,,0
10/03/2020,401,,,4,,,0
11/03/2020,484,,,5,,,0
12/03/2020,515,,,5,,,0
13/03/2020,550,,,5,,,0
14/03/2020,584,,,6,,,0
15/03/2020,726,,,6,,,0
16/03/2020,1051,,,8,,,0
17/03/2020,1710,,,12,,,0
18/03/2020,2919,,,20,,,0
19/03/2020,4210,,,28,,,0
20/03/2020,5764,,,39,,,0
21/03/2020,6940,,,52,,,0
22/03/2020,8196,,,66,,,0
23/03/2020,9246,,,102,,,0
24/03/2020,10790,142,13,155,6,12,0
25/03/2020,13382,189,16,205,6,22,0
26/03/2020,15499,262,21,283,7,27,0
27/03/2020,17566,338,30,368,8,37,0
28/03/2020,19375,416,35,451,12,50,0
29/03/2020,20293,476,38,514,9,56,0
30/03/2020,21684,552,37,589,12,63,1
31/03/2020,23777,600,47,647,14,74,1
01/04/2020,26339,647,61,708,16,82,1
02/04/2020,29785,723,74,797,13,92,1
03/04/2020,33416,772,96,868,13,103,1
04/04/2020,36509,824,126,950,10,127,1
05/04/2020,40218,824,126,950,10,127,1
06/04/2020,43126,911,195,1106,13,176,1
07/04/2020,47175,943,217,1160,12,241,1
08/04/2020,51165,969,241,1210,12,282,1
09/04/2020,55685,992,247,1239,14,317,1
10/04/2020,58746,1015,268,1283,16,373,2
11/04/2020,61167,1035,277,1312,15,422,4
12/04/2020,62827,1049,281,1330,14,471,4
13/04/2020,64399,1064,285,1349,15,546,5
14/04/2020,66499,1072,294,1366,15,628,9
15/04/2020,70160,1078,308,1386,13,728,9
16/04/2020,74401,1084,317,1401,12,770,9
17/04/2020,79078,1086,323,1409,14,816,11
18/04/2020,83224,1094,328,1422,20,867,11
19/04/2020,86305,1098,333,1431,18,912,12
20/04/2020,89508,1105,335,1440,14,974,12
21/04/2020,94797,1107,338,1445,12,1006,13
22/04/2020,101277,1113,338,1451,11,1036,14
23/04/2020,108238,1112,339,1451,8,1065,16
24/04/2020,115015,1114,342,1456,8,1095,17
25/04/2020,120981,1117,344,1461,7,1118,18
26/04/2020,123920,1121,349,1470,7,1142,18
27/04/2020,,1122,347,1469,7,1180,19
